label,accession,type,start,end,notes
7czw,5,5,5,5,5
7czx,5,5,5,5,5
7czy,5,5,5,5,5
7czz,5,5,5,5,5
7d00,5,5,5,5,5
7d03,5,5,5,5,5
7d0b,5,5,5,5,5
7d0c,5,5,5,5,5
7d0d,5,5,5,5,5
7d1m,4,4,4,4,4
7d1o,4,4,4,4,4
7d3i,4,4,4,4,4
7d47,7,7,7,7,7
7d4f,28,28,28,28,28
7d6h,1,1,1,1,1
7d7k,3,3,3,3,3
7d7l,3,3,3,3,3
7dcc,3,3,3,3,3
7dcd,10,10,10,10,10
7dcx,3,3,3,3,3
7dd2,3,3,3,3,3
7dd8,3,3,3,3,3
7ddd,1,1,1,1,1
7ddn,3,3,3,3,3
7de1,1,1,1,1,1
7df3,1,1,1,1,1
7df4,3,3,3,3,3
7dhg,3,3,3,3,3
7diy,10,10,10,10,10
7djr,4,4,4,4,4
7dk1,4,4,4,4,4
7dk3,3,3,3,3,3
7dk4,3,3,3,3,3
7dk5,3,3,3,3,3
7dk6,3,3,3,3,3
7dk7,3,3,3,3,3
7dpp,6,6,6,6,6
7dpu,2,2,2,2,2
7dpv,6,6,6,6,6
7dwx,5,5,5,5,5
7dwy,3,3,3,3,3
7dwz,5,5,5,5,5
7dx0,5,5,5,5,5
7dx1,5,5,5,5,5
7dx2,5,5,5,5,5
7dx3,5,5,5,5,5
7dx5,5,5,5,5,5
7dx6,5,5,5,5,5
7dx7,5,5,5,5,5
7dx8,5,5,5,5,5
7dx9,5,5,5,5,5
7dzw,1,1,1,1,1
7dzy,1,1,1,1,1
7e18,4,4,4,4,4
7e19,4,4,4,4,4
7e35,3,3,3,3,3
7e3k,3,3,3,3,3
7e3l,3,3,3,3,3
7e7b,1,1,1,1,1
7e7d,1,1,1,1,1
7e8c,3,3,3,3,3
7eaz,3,3,3,3,3
7eb0,3,3,3,3,3
7eb3,3,3,3,3,3
7eb4,3,3,3,3,3
7eb5,3,3,3,3,3
7edf,3,3,3,3,3
7edg,3,3,3,3,3
7edh,3,3,3,3,3
7edi,3,3,3,3,3
7edj,3,3,3,3,3
7egq,32,32,32,32,32
7eh5,3,3,3,3,3
7ein,2,2,2,2,2
7eiz,29,29,29,29,29
7ej4,3,3,3,3,3
7ej5,3,3,3,3,3
7ek6,4,4,4,4,4
7eq4,6,6,6,6,6
7exm,2,2,2,2,2
7f2b,1,1,1,1,1
7fay,2,2,2,2,2
7faz,2,2,2,2,2
7jfq,4,4,4,4,4
7jhe,8,8,8,8,8
7jib,8,8,8,8,8
7jir,7,7,7,7,7
7jit,5,5,5,5,5
7jiv,5,5,5,5,5
7jiw,8,8,8,8,8
7jji,1,1,1,1,1
7jjj,1,1,1,1,1
7jkv,4,4,4,4,4
7jlt,10,10,10,10,10
7jme,6,6,6,6,6
7jn2,4,4,4,4,4
7joy,3,3,3,3,3
7jp1,2,2,2,2,2
7jpe,8,8,8,8,8
7jpy,4,4,4,4,4
7jpz,6,6,6,6,6
7jq0,6,6,6,6,6
7jq1,6,6,6,6,6
7jq2,4,4,4,4,4
7jq3,6,6,6,6,6
7jq4,6,6,6,6,6
7jq5,6,6,6,6,6
7jqb,2,2,2,2,2
7jqc,2,2,2,2,2
7jr3,4,4,4,4,4
7jr4,10,10,10,10,10
7jrn,2,2,2,2,2
7jst,4,4,4,4,4
7jsu,4,4,4,4,4
7jt0,8,8,8,8,8
7jt7,2,2,2,2,2
7jtl,3,3,3,3,3
7ju7,4,4,4,4,4
7jun,2,2,2,2,2
7jv4,3,3,3,3,3
7jv6,3,3,3,3,3
7jvc,3,3,3,3,3
7jvz,2,2,2,2,2
7jw0,3,3,3,3,3
7jw8,2,2,2,2,2
7jwb,3,3,3,3,3
7jwy,1,1,1,1,1
7jx6,1,1,1,1,1
7jyc,2,2,2,2,2
7jyy,6,6,6,6,6
7jz0,6,6,6,6,6
7jzl,3,3,3,3,3
7jzn,3,3,3,3,3
7k0e,6,6,6,6,6
7k0f,6,6,6,6,6
7k0r,4,4,4,4,4
7k1l,4,4,4,4,4
7k1o,4,4,4,4,4
7k3g,1,1,1,1,1
7k3n,10,10,10,10,10
7k3t,2,2,2,2,2
7k40,2,2,2,2,2
7k43,3,3,3,3,3
7k4n,3,3,3,3,3
7k5i,6,6,6,6,6
7k6d,4,4,4,4,4
7k6e,4,4,4,4,4
7k7p,4,4,4,4,4
7k8s,3,3,3,3,3
7k8t,3,3,3,3,3
7k8u,3,3,3,3,3
7k8v,3,3,3,3,3
7k8w,3,3,3,3,3
7k8x,3,3,3,3,3
7k8y,3,3,3,3,3
7k8z,3,3,3,3,3
7k90,3,3,3,3,3
7k9p,2,2,2,2,2
7kag,2,2,2,2,2
7kdg,3,3,3,3,3
7kdh,3,3,3,3,3
7kdi,3,3,3,3,3
7kdj,3,3,3,3,3
7kdk,3,3,3,3,3
7kdl,3,3,3,3,3
7kdt,3,3,3,3,3
7ke4,3,3,3,3,3
7ke6,3,3,3,3,3
7ke7,3,3,3,3,3
7ke8,3,3,3,3,3
7ke9,3,3,3,3,3
7kea,3,3,3,3,3
7keb,3,3,3,3,3
7kec,3,3,3,3,3
7keg,2,2,2,2,2
7keh,2,2,2,2,2
7kf4,2,2,2,2,2
7kfi,4,4,4,4,4
7kg3,4,4,4,4,4
7kgo,1,1,1,1,1
7kgp,1,1,1,1,1
7kgq,1,1,1,1,1
7kgr,1,1,1,1,1
7kgs,1,1,1,1,1
7kgt,2,2,2,2,2
7khp,2,2,2,2,2
7kj2,3,3,3,3,3
7kj3,3,3,3,3,3
7kj4,3,3,3,3,3
7kj5,3,3,3,3,3
7kjr,5,5,5,5,5
7kkk,3,3,3,3,3
7kkl,3,3,3,3,3
7kl9,3,3,3,3,3
7kmk,3,3,3,3,3
7kml,3,3,3,3,3
7kms,3,3,3,3,3
7kmz,3,3,3,3,3
7knb,3,3,3,3,3
7kne,3,3,3,3,3
7knh,3,3,3,3,3
7kni,3,3,3,3,3
7koa,8,8,8,8,8
7koj,7,7,7,7,7
7kok,7,7,7,7,7
